username,post_id,url,content,views,likes,comments,reposts,shares,source,created_at,fetched_at
gvmonthly,DMzXv2mT259,https://www.threads.com/@gvmonthly/post/DMzXv2mT259,>>>賴清德：此刻不宜定論談判成敗 https://www.gvm.com.tw/article/123170,2000,185,38,2,1,jina_api,2025-08-04 06:10:40.817745+00:00,2025-08-04 06:10:40.817745+00:00
gvmonthly,DMzC0PNzQHf,https://www.threads.com/@gvmonthly/post/DMzC0PNzQHf,全台最貴度假飯店，開幕不到一年，現任總經理林子寬突然要申請退休了！,34800,201,9,6,24,jina_api,2025-08-04 06:10:40.813248+00:00,2025-08-04 06:10:40.813248+00:00
gvmonthly,DMzvyiSzkdc,https://www.threads.com/@gvmonthly/post/DMzvyiSzkdc,>>>232條款恐怕衝擊高科技產品 https://www.gvm.com.tw/article/123178,2300,447,25,8,3,jina_api,2025-08-04 06:10:40.806716+00:00,2025-08-04 06:10:40.806716+00:00
gvmonthly,DM19exNTcnD,https://www.threads.com/@gvmonthly/post/DM19exNTcnD,>>> 國際旅客人數好多 https://www.gvm.com.tw/article/123133,2100,38,1,1,2,jina_api,2025-08-04 06:09:57.641549+00:00,2025-08-04 06:09:57.641549+00:00
gvmonthly,DM2eaiJzEZ8,https://www.threads.com/@gvmonthly/post/DM2eaiJzEZ8,>>>國道五號能比較不塞車？ https://www.gvm.com.tw/article/123182,3800,28,1,1,,jina_api,2025-08-04 06:09:57.635537+00:00,2025-08-04 06:09:57.635537+00:00
gvmonthly,DMzvu4MTpis,https://www.threads.com/@gvmonthly/post/DMzvu4MTpis,關稅+台幣升值，傳產業者們「海嘯第一排」,28400,84,9,1,1,jina_api,2025-08-04 06:09:57.630551+00:00,2025-08-04 06:09:57.630551+00:00
gvmonthly,DMz-aQ2T4ez,https://www.threads.com/@gvmonthly/post/DMz-aQ2T4ez,>>> 城鄉間住宅使用狀況差很大 https://www.gvm.com.tw/article/123183,5200,1000,37,15,8,jina_api,2025-08-04 06:09:57.623976+00:00,2025-08-04 06:09:57.623976+00:00
gvmonthly,DMz-W3pThFp,https://www.threads.com/@gvmonthly/post/DMz-W3pThFp,房子是蓋來住人的，不是用來騙人的🥲,34100,10,1,1,,jina_api,2025-08-04 06:09:57.618722+00:00,2025-08-04 06:09:57.618722+00:00
gvmonthly,DM19Y-ET4nG,https://www.threads.com/@gvmonthly/post/DM19Y-ET4nG,全球最忙的機場TOP 20，桃機上榜啦！,15700,38,1,1,2,jina_api,2025-08-04 06:09:57.614294+00:00,2025-08-04 06:09:57.614294+00:00
gvmonthly,DM5ouH6ztji,https://www.threads.com/@gvmonthly/post/DM5ouH6ztji,,12600,445,2,2,28,jina_api,2025-08-04 06:09:57.608313+00:00,2025-08-04 06:09:57.608313+00:00
gvmonthly,DM6rcBbz6M0,https://www.threads.com/@gvmonthly/post/DM6rcBbz6M0,>>>美貿易代表：幾無調整空間 https://www.gvm.com.tw/article/123198,3600,1500,77,25,71,jina_api,2025-08-04 06:09:57.603903+00:00,2025-08-04 06:09:57.603903+00:00
gvmonthly,DM5oxdJzFZw,https://www.threads.com/@gvmonthly/post/DM5oxdJzFZw,>>> 韓國藝人的經紀人重要在哪？ https://www.gvm.com.tw/article/109669,1900,445,2,2,,jina_api,2025-08-04 06:09:57.599876+00:00,2025-08-04 06:09:57.599876+00:00
gvmonthly,DM2eU60zyhi,https://www.threads.com/@gvmonthly/post/DM2eU60zyhi,宜蘭蓋不蓋？無解難題，或許也得加強地方大眾運輸？,15100,28,1,1,22,jina_api,2025-08-04 06:09:57.592569+00:00,2025-08-04 06:09:57.592569+00:00
gvmonthly,DM6rZ8IzDFi,https://www.threads.com/@gvmonthly/post/DM6rZ8IzDFi,我們是暫時性關稅，我說暫時，但沒說多久,19600,729,43,10,35,jina_api,2025-08-04 05:23:35.370571+00:00,2025-08-04 05:23:35.370571+00:00
gvmonthly,DM60PxHz7Zn,https://www.threads.com/@gvmonthly/post/DM60PxHz7Zn,>>>後遺症最久可能持續18個月 https://www.gvm.com.tw/article/123197,311,39,3,3,1,jina_api,2025-08-04 05:23:35.359448+00:00,2025-08-04 05:23:35.359448+00:00
gvmonthly,DM60KvnTdt1,https://www.threads.com/@gvmonthly/post/DM60KvnTdt1,美國啟動二級旅遊警告🚨中國爆發急性傳染病：屈公病（基孔肯亞熱），這是由蚊子傳播的病毒引起，目前無特效藥治療,1300,39,3,3,1,jina_api,2025-08-04 05:23:35.345562+00:00,2025-08-04 05:23:35.345562+00:00
